,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
899,90.0,107.9865186299423,-15.793194160565276,29.14095849993664,-0.0016898180531548235,-0.7134924845754829,-1.4547466493192307,1.499900214287867,0.026508771394346712,-0.05110271395967823,-0.0459789123758785,-0.030326529555888073,-0.0540490852783102,9.759233449066413,0.031402652160192265,0.06461841959546469,5.679432790484107e-05,0.23984543232361352,14.818748766562566,0.2616287691788238,-9.292922796889904,-0.4418544907588039,0.32268589094462036,-0.28094329393490847
900,90.10000000000001,108.03270067320754,-15.889915754913833,29.185222407957568,-0.0016135568136204093,-0.7165342665088845,-1.4618884477056513,1.499913773782321,0.026055480708187837,-0.051023888390034876,-0.045452188345568245,-0.029918584359507533,-0.05308469574804088,9.759144982852678,0.030799153633050944,0.06453866985265919,4.98928560664913e-05,0.23782045162539717,14.773458573196198,0.26090926174960843,-9.30447339639134,-0.4433974230189946,0.32076764426989324,-0.27740161149283454
901,90.2,108.07800023995289,-15.986451779939856,29.22981420764807,-0.001539549621783376,-0.7195346865636219,-1.4689216400608647,1.4999273033280178,0.025604528732177147,-0.050945145095328825,-0.04491529220417565,-0.029521797276777808,-0.05212895927770983,9.759045687458887,0.030204462508473466,0.06446962581990187,4.311310883953201e-05,0.23562310360081404,14.727931371021835,0.25996266831784265,-9.31530048937601,-0.44626451717008037,0.31985486710126504,-0.2747638075050225
902,90.30000000000001,108.12235837147242,-16.082843946052073,29.274853569499435,-0.0014672929193291218,-0.7224948883014366,-1.475846594697505,1.4999402588973594,0.025154889049019014,-0.050862688404010044,-0.04437665026459475,-0.029100741821365326,-0.05117136173083186,9.758932605324711,0.02960591880658587,0.06436911349434354,3.6348335991087666e-05,0.23377707352601956,14.682261863271318,0.25940524877610777,-9.325575358094305,-0.44795458286616974,0.31814427385840366,-0.27147371243370655
903,90.4,108.16582901402361,-16.17906262407392,29.32027211891652,-0.0013980138212743576,-0.7254124676859335,-1.482662303775515,1.4999533337177016,0.024707950738444003,-0.05078027734588092,-0.043823485465086055,-0.02870121928476591,-0.050226171886762754,9.758813955511702,0.029021156292278756,0.06429484530251661,2.9870551320310135e-05,0.23169177470397473,14.63639138555072,0.2585441765282324,-9.335178067623852,-0.45014866069302095,0.31684036902275786,-0.2685655246890287
904,90.5,108.20839228563365,-16.275125757193898,29.36612435987074,-0.001330421769398793,-0.7282896084956274,-1.489369636732708,1.4999659139107244,0.024263203256724587,-0.050696186647970175,-0.04326529242130622,-0.028293490597902718,-0.04928414974709207,9.758679907623325,0.0284369272631875,0.06420399175989772,2.3333141149217695e-05,0.22976378834679737,14.590363609546086,0.25784361785623017,-9.344183135952306,-0.4517382420280467,0.3151603409459088,-0.26537352922874274
905,90.60000000000001,108.25011612142784,-16.37099577890737,29.412318487721087,-0.0012649443889465317,-0.7311255119200495,-1.4959682626658277,1.4999782317457642,0.02382123455748347,-0.05061181940574728,-0.04269854598331873,-0.027895145742314116,-0.04835110867212869,9.758539575314744,0.027861394474516073,0.06412226308438661,1.704304463778783e-05,0.22773236381987397,14.544154704172918,0.25700128018405577,-9.35253847535546,-0.45405233893262453,0.3140323819135167,-0.2626799279308059
906,90.7,108.29096150784783,-16.466703114453125,29.458940748182826,-0.001201131718377102,-0.7339211404072823,-1.5024586264473896,1.49998993702107,0.023381463265720864,-0.050525252163594325,-0.042129584956859936,-0.027485568189407155,-0.04742035770252368,9.758389982291135,0.02728603312161791,0.0640235243539076,1.0884127117916087e-05,0.22590957105531434,14.497820418742506,0.2563759495416233,-9.360342828261542,-0.4554724639727695,0.31233311127986263,-0.2595420792097396
907,90.80000000000001,108.33100545167657,-16.5622050264688,29.505884065356906,-0.0011397362758351903,-0.7366753910517314,-1.508840293377753,1.500001410786334,0.022944888341495124,-0.050439004363777164,-0.041550821729191445,-0.027092346841990862,-0.04650137676992975,9.75823667456473,0.026722447791977365,0.0639422605216442,5.0314894649572395e-06,0.2239155402903545,14.451319459381594,0.25553342572718124,-9.367511632787927,-0.45776788723861633,0.31127986799188845,-0.25697394887554276
908,90.9,108.37029347281886,-16.657479321646406,29.553093695080488,-0.001079893435136814,-0.7393899239057351,-1.5151140990205834,1.5000121517696208,0.02251073043031829,-0.05035079466157953,-0.04097127848424964,-0.0266869599827392,-0.04558438323834629,9.758074560525383,0.026157914179901133,0.06384130506459434,-7.053931669886992e-07,0.22216495326613667,14.404715467533048,0.2549452826511656,-9.374159310424389,-0.46046655139817233,0.3105390862534531,-0.2546914945307983
